Pseudogene_ID,Control_Count,Diseased_Count
ENSSG772695137,116,121
ENSSG382390255,95,94
ENSSG762265391,92,90
ENSSG225889151,93,98
ENSSG181347261,99,98
ENSSG412787228,113,110
ENSSG730954200,83,86
ENSSG304118136,96,99
ENSSG317876231,100,105
ENSSG194090510,91,93
ENSSG618971863,103,51
ENSSG118964906,105,109
ENSSG021118604,95,90
ENSSG196798458,116,58
ENSSG963619024,110,113
ENSSG437655536,104,103
ENSSG013631129,103,106
ENSSG139054806,95,97
ENSSG949046637,108,110
ENSSG673444103,117,117
ENSSG734806227,107,105
ENSSG703486889,95,190
ENSSG031332953,81,77
ENSSG513830159,90,91
ENSSG920739555,83,166
ENSSG726694581,84,89
ENSSG018670064,87,43
ENSSG423401709,104,100
ENSSG567233996,94,92
ENSSG095300761,114,111
ENSSG617640601,111,110
ENSSG062362744,127,254
ENSSG187693576,90,93
ENSSG739058157,104,104
ENSSG596765672,99,101
ENSSG489470513,112,56
ENSSG701129932,110,113
ENSSG160783796,97,95
ENSSG860358315,106,104
ENSSG222512632,109,108
ENSSG705602889,99,49
ENSSG287166739,77,80
ENSSG625177344,106,109
ENSSG238121582,96,100
ENSSG801424652,84,88
ENSSG799939984,99,96
ENSSG646905323,95,96
ENSSG907413450,83,85
ENSSG490154598,95,100
ENSSG306394656,117,116
ENSSG688962648,100,99
ENSSG991092326,105,110
ENSSG094834430,87,86
ENSSG824371087,102,105
ENSSG099054727,93,96
ENSSG714249958,112,116
ENSSG539063489,109,112
ENSSG293654644,99,103
ENSSG541288919,103,99
ENSSG477569121,100,100
ENSSG265514667,98,196
ENSSG578895997,106,103
ENSSG727458927,98,101
ENSSG687111638,110,110
ENSSG973982811,98,97
ENSSG460616924,105,105
ENSSG052704925,100,103
ENSSG485498349,113,116
ENSSG577261654,87,92
ENSSG546061967,88,88
ENSSG835663762,102,103
ENSSG027521404,117,121
ENSSG753845640,86,84
ENSSG166728257,110,115
ENSSG070630782,102,99
ENSSG313011265,109,108
ENSSG467413998,82,164
ENSSG624447744,104,99
ENSSG586877328,93,90
ENSSG733787548,114,109
ENSSG624932808,99,101
ENSSG014973078,99,101
ENSSG174120210,100,104
ENSSG344676319,130,129
ENSSG065293598,80,78
ENSSG310903946,95,99
ENSSG208401692,89,87
ENSSG819910988,98,96
ENSSG669551988,96,97
ENSSG214729204,87,89
ENSSG599889606,96,192
ENSSG951801765,86,91
ENSSG979297210,97,100
ENSSG383242528,113,108
ENSSG230508183,97,99
ENSSG528859503,110,109
ENSSG231931473,93,90
ENSSG142691557,88,91
ENSSG847542319,106,101
ENSSG179469779,92,96
ENSSG079837768,89,44
ENSSG895353925,93,89
ENSSG851075062,99,103
ENSSG629270218,101,103
ENSSG183915930,100,200
ENSSG843651324,90,95
ENSSG860582757,90,92
ENSSG110013822,106,107
ENSSG022710900,95,91
ENSSG514470090,112,107
ENSSG151722076,106,111
ENSSG462220934,88,44
ENSSG152045959,98,97
ENSSG389949362,88,44
ENSSG478466195,102,98
ENSSG486163220,91,95
ENSSG686032262,100,102
ENSSG808431054,90,85
ENSSG474409776,109,113
ENSSG668471107,102,101
ENSSG536795564,101,103
ENSSG937786441,106,101
ENSSG712940642,93,186
ENSSG292069747,113,109
ENSSG886042237,89,90
ENSSG446792225,103,101
ENSSG519209193,75,73
ENSSG915646618,112,107
ENSSG674202762,104,103
ENSSG538759149,100,102
ENSSG247326116,113,109
ENSSG651883886,86,88
ENSSG621751634,109,105
ENSSG210665458,116,113
ENSSG791735029,105,109
ENSSG713640701,94,96
ENSSG091937137,102,204
ENSSG151101489,87,90
ENSSG550504088,86,86
ENSSG301907187,98,102
ENSSG406773786,104,100
ENSSG052715765,82,87
ENSSG548051715,114,112
ENSSG308855248,94,93
ENSSG002669355,86,82
ENSSG190610784,116,116
ENSSG487015506,91,94
ENSSG806952258,122,119
ENSSG061266403,119,123
ENSSG412750340,109,111
ENSSG792028884,95,93
ENSSG902953559,87,84
ENSSG766409702,113,116
ENSSG185977667,110,111
ENSSG182439084,91,182
ENSSG805574494,99,95
ENSSG913023051,112,110
ENSSG463228292,112,117
ENSSG354907753,104,109
ENSSG420195311,94,93
ENSSG158020913,109,106
ENSSG789907423,86,86
ENSSG871125259,98,97
ENSSG706359868,97,95
ENSSG888229995,95,97
ENSSG880721335,89,91
ENSSG724916419,98,101
ENSSG251586458,92,95
ENSSG381349013,102,98
ENSSG989597665,97,93
ENSSG122388356,100,99
ENSSG009565353,99,98
ENSSG077764392,115,120
ENSSG500629365,107,111
ENSSG936869430,96,101
ENSSG150795701,89,94
ENSSG556597332,111,55
ENSSG512312282,108,111
ENSSG426909214,101,100
ENSSG802118109,95,96
ENSSG515158604,99,101
ENSSG161954750,93,94
ENSSG648542450,98,102
ENSSG383358008,115,118
ENSSG514678584,107,111
ENSSG084212746,86,81
ENSSG464703049,89,92
ENSSG080953601,93,96
ENSSG538503087,97,95
ENSSG138566376,103,104
ENSSG453802338,92,89
ENSSG110698019,112,110
ENSSG980034123,90,91
ENSSG339835502,118,123
ENSSG374662701,97,48
ENSSG373253315,108,108
ENSSG286509692,82,78
ENSSG821499039,92,96
ENSSG042387281,106,111
ENSSG065608920,118,114
ENSSG736167178,99,100
ENSSG072737524,99,100
ENSSG792929013,94,99
ENSSG100362480,91,88
ENSSG764606615,105,52
ENSSG232695756,91,87
ENSSG188648245,115,230
ENSSG460274813,108,103
ENSSG443085430,88,88
ENSSG897374234,80,80
ENSSG561010307,84,84
ENSSG604055533,117,118
ENSSG838164032,104,208
ENSSG679493890,95,190
ENSSG499774544,104,100
ENSSG774664637,91,88
ENSSG273577855,104,107
ENSSG120261722,95,93
ENSSG754584831,107,108
ENSSG834169215,90,92
ENSSG261957646,125,122
ENSSG113803423,96,99
ENSSG933867954,99,100
ENSSG505220062,121,121
ENSSG412423284,96,94
ENSSG317554647,83,88
ENSSG437588023,85,84
ENSSG605906437,115,117
ENSSG839109922,87,90
ENSSG444544553,91,91
ENSSG812856894,91,88
ENSSG761315352,107,112
ENSSG591135812,121,242
ENSSG896286656,111,107
ENSSG461273238,101,106
ENSSG246055530,105,104
ENSSG423614935,92,88
ENSSG139670301,93,186
ENSSG342660822,90,89
ENSSG400886667,99,94
ENSSG122554711,92,94
ENSSG914899849,94,98
ENSSG380552348,91,91
ENSSG877533421,104,208
ENSSG237421505,93,97
ENSSG430819632,101,102
ENSSG884332864,88,87
ENSSG525461987,109,114
ENSSG219610770,123,124
ENSSG737957419,86,43
ENSSG618066542,100,101
ENSSG295279717,105,102
ENSSG901502583,85,86
ENSSG565186270,102,107
ENSSG687511445,102,105
ENSSG116515649,99,97
ENSSG950938936,103,100
ENSSG935746107,99,95
ENSSG163352307,117,114
ENSSG237325018,101,50
ENSSG259753965,107,105
ENSSG718045444,92,88
ENSSG016370012,104,102
ENSSG183803604,99,100
ENSSG797526346,98,93
ENSSG575334842,106,103
ENSSG282951269,94,95
ENSSG692940975,111,115
ENSSG388809222,104,102
ENSSG933303909,99,100
ENSSG591977240,97,95
ENSSG422992409,107,104
ENSSG926328106,111,113
ENSSG092901254,91,89
ENSSG568302774,96,48
ENSSG177377900,93,46
ENSSG226624800,101,103
ENSSG541717034,101,99
ENSSG108895020,105,52
ENSSG789305405,97,194
ENSSG297763570,112,111
ENSSG843179820,101,97
ENSSG439626501,85,90
ENSSG451122815,99,49
ENSSG092655751,90,91
ENSSG142444043,111,110
ENSSG061072828,91,96
ENSSG487230784,69,64
ENSSG339385672,97,102
ENSSG915906273,95,92
ENSSG950772098,101,105
ENSSG392807795,95,47
ENSSG898428179,104,108
ENSSG242797067,114,109
ENSSG810921780,86,84
ENSSG382805032,98,95
ENSSG726009858,99,96
ENSSG059183989,103,51
ENSSG555086662,94,90
ENSSG245320155,86,81
ENSSG733370762,105,101
ENSSG459222641,96,96
ENSSG325359108,94,47
ENSSG200040933,109,108
ENSSG218373755,96,96
ENSSG843846972,110,113
ENSSG095072701,100,102
ENSSG649489480,109,106
ENSSG018560727,109,106
ENSSG351635459,96,92
ENSSG977060396,94,95
ENSSG080115813,94,96
ENSSG320098119,96,192
ENSSG711134399,86,88
ENSSG144635331,90,92
ENSSG841323162,111,108
ENSSG285648694,105,109
ENSSG793165723,101,103
ENSSG811518595,95,91
ENSSG493082400,100,98
ENSSG274307104,89,94
ENSSG476482145,96,94
ENSSG626299412,96,99
ENSSG257396961,96,95
ENSSG432955200,113,108
ENSSG677125087,110,110
ENSSG730684491,105,102
ENSSG638443153,119,114
ENSSG243139029,104,101
ENSSG701848542,106,107
ENSSG265318076,93,96
ENSSG106221036,116,116
ENSSG387844383,109,104
ENSSG176189243,108,108
ENSSG840341703,100,99
ENSSG357697916,102,107
ENSSG227560597,104,105
ENSSG292787584,122,125
ENSSG377211521,108,108
ENSSG984732142,106,103
ENSSG662243992,91,96
ENSSG043297738,90,86
ENSSG311439643,104,99
ENSSG818601452,116,121
ENSSG966454361,103,103
ENSSG872100361,124,125
ENSSG496539929,100,101
ENSSG247475148,107,106
ENSSG969523292,100,101
ENSSG212669937,91,86
ENSSG594627260,102,99
ENSSG837130185,98,100
ENSSG546999066,92,93
ENSSG892016306,91,87
ENSSG876165878,111,116
ENSSG510371925,101,99
ENSSG118997440,107,103
ENSSG100430980,91,94
ENSSG684407124,106,110
ENSSG425289242,101,98
ENSSG826452306,108,109
ENSSG539908408,97,101
ENSSG444232149,98,97
ENSSG390329290,100,100
ENSSG768573305,101,103
ENSSG406303709,98,98
ENSSG729949290,93,94
ENSSG724553643,110,113
ENSSG882458615,88,91
ENSSG933920545,119,124
ENSSG988907954,94,92
ENSSG511258000,98,97
ENSSG744978623,110,220
ENSSG726524715,115,118
ENSSG777368549,116,114
ENSSG815603545,110,220
ENSSG166719747,110,109
ENSSG204486389,103,105
ENSSG143796182,98,103
ENSSG461713509,81,80
ENSSG515552611,109,218
ENSSG993887404,88,92
ENSSG430438721,110,110
ENSSG101716492,104,102
ENSSG547107824,112,108
ENSSG927967939,113,117
ENSSG498426958,95,99
ENSSG896328090,109,114
ENSSG628007459,97,101
ENSSG886628188,94,95
ENSSG588438528,92,46
ENSSG671961479,82,85
ENSSG542384959,105,109
ENSSG103041746,106,106
ENSSG171614010,108,110
ENSSG742036024,111,107
ENSSG911620011,93,90
ENSSG398786016,94,89
ENSSG251835875,91,95
ENSSG322956643,91,86
ENSSG266183554,87,85
ENSSG238090008,93,91
ENSSG380692284,94,96
ENSSG148161408,101,101
ENSSG138325408,108,216
ENSSG936779024,92,184
ENSSG799181838,101,104
ENSSG347823957,101,97
ENSSG878722020,104,102
ENSSG485879787,117,114
ENSSG455413039,85,80
ENSSG932875613,90,90
ENSSG592507074,95,93
ENSSG162481798,83,82
ENSSG931336458,99,102
ENSSG947819982,102,99
ENSSG235797236,102,107
ENSSG908835233,101,102
ENSSG293029671,90,85
ENSSG404752540,115,119
ENSSG687731682,91,95
ENSSG986108904,101,100
ENSSG324102199,97,93
ENSSG869647905,105,103
ENSSG500581305,93,89
ENSSG265073695,119,119
ENSSG647199730,106,109
ENSSG865702065,106,102
ENSSG640286403,89,88
ENSSG689855141,107,105
ENSSG054932343,109,113
ENSSG425799808,95,96
ENSSG613478257,93,94
ENSSG749244126,104,106
ENSSG642306275,81,82
ENSSG739171042,87,90
ENSSG034362704,94,97
ENSSG801702612,106,107
ENSSG079964934,93,90
ENSSG389187566,109,109
ENSSG224293348,86,82
ENSSG087774210,94,98
ENSSG530195307,109,111
ENSSG452400655,103,107
ENSSG806991472,108,107
ENSSG255127716,99,95
ENSSG231043248,113,111
ENSSG065719207,117,113
ENSSG437227089,97,96
ENSSG515873901,107,107
ENSSG830913054,102,105
ENSSG273770000,85,89
ENSSG904493982,90,95
ENSSG801962688,102,102
ENSSG596344360,91,87
ENSSG484412069,109,105
ENSSG899297600,118,118
ENSSG731874659,86,88
ENSSG972370930,97,101
ENSSG436895722,93,98
ENSSG221967959,93,94
ENSSG947850327,106,103
ENSSG265835109,78,79
ENSSG780092778,97,100
ENSSG540135298,85,89
ENSSG843530664,92,90
ENSSG539902874,108,112
ENSSG969999868,75,76
ENSSG304077856,94,91
ENSSG942826058,97,102
ENSSG639855511,111,109
ENSSG010609088,99,98
ENSSG228756132,96,101
ENSSG871199763,102,204
ENSSG223052227,81,77
ENSSG401560530,97,93
ENSSG831399055,105,103
ENSSG642248105,100,103
ENSSG247666262,105,109
ENSSG463730699,108,106
ENSSG916647398,101,98
ENSSG843252537,103,106
ENSSG371094056,86,90
ENSSG722354741,117,115
ENSSG087729048,117,112
ENSSG549705878,91,94
ENSSG628538404,106,108
ENSSG389032258,101,102
ENSSG959095842,130,128
ENSSG013064213,83,79
ENSSG075172865,96,98
ENSSG563772081,109,114
ENSSG726344126,93,93
ENSSG715130536,108,109
ENSSG073603440,114,228
ENSSG041169329,95,100
ENSSG229384694,99,101
ENSSG358525821,92,90
ENSSG601398660,111,111
ENSSG653761891,135,131
ENSSG662524945,92,90
ENSSG821385612,104,107
ENSSG298370614,99,100
ENSSG645632754,103,98
ENSSG414286741,98,102
ENSSG184245255,104,99
ENSSG701989755,101,97
ENSSG970349585,97,94
ENSSG169220117,114,113
ENSSG228667418,95,47
ENSSG697549450,89,94
ENSSG460818224,103,98
ENSSG651201071,92,92
ENSSG170490157,91,182
ENSSG038743797,115,119
ENSSG008564799,100,100
ENSSG382260234,91,88
ENSSG220357439,84,79
ENSSG756756501,104,52
ENSSG965842257,104,100
ENSSG940027482,99,97
ENSSG900192828,130,135
ENSSG898225473,109,112
ENSSG948869911,91,90
ENSSG045197711,109,110
ENSSG665541717,94,188
ENSSG292478735,116,117
ENSSG481170001,106,105
ENSSG374099010,121,125
ENSSG997433620,103,107
ENSSG933794237,91,92
ENSSG135209339,90,95
ENSSG915428970,92,97
ENSSG023877666,98,95
ENSSG355913560,123,122
ENSSG383846161,99,96
ENSSG768380090,101,96
ENSSG038254915,87,87
ENSSG523922730,91,91
ENSSG805643047,104,103
ENSSG711419142,95,94
ENSSG958973839,97,48
ENSSG225241837,97,102
ENSSG037327918,96,99
ENSSG383552698,109,108
ENSSG535359511,100,100
ENSSG303887614,106,102
ENSSG548995990,114,117
ENSSG384452659,93,46
ENSSG016136246,91,96
ENSSG934825009,85,85
ENSSG768444843,97,99
ENSSG878815860,108,103
ENSSG927972304,95,99
ENSSG339461933,96,99
ENSSG402481636,86,86
ENSSG088341923,98,94
ENSSG420012974,102,103
ENSSG664564701,101,99
ENSSG159155284,98,102
ENSSG173630603,99,100
ENSSG861383875,101,104
ENSSG630992737,95,90
ENSSG885923599,100,96
ENSSG984904031,102,99
ENSSG600262478,103,104
ENSSG261682664,94,188
ENSSG053098259,112,116
ENSSG560059761,100,96
ENSSG877295842,107,107
ENSSG149534051,91,87
ENSSG156604385,101,102
ENSSG160380880,87,90
ENSSG900182467,114,116
ENSSG169068671,93,94
ENSSG425819366,109,112
ENSSG000948936,106,105
ENSSG851055734,102,97
ENSSG098921806,112,108
ENSSG613608661,100,50
ENSSG294051058,106,53
ENSSG408103406,80,77
ENSSG813982724,94,97
ENSSG698495630,92,90
ENSSG531730713,97,97
ENSSG586031866,92,89
ENSSG556816362,99,198
ENSSG410368128,90,45
ENSSG123087625,93,89
ENSSG683561847,112,111
ENSSG475610732,128,133
ENSSG174936003,97,48
ENSSG798167201,105,104
ENSSG677620227,91,91
ENSSG140670368,105,110
ENSSG079506873,95,100
ENSSG860387657,100,101
ENSSG211571643,101,98
ENSSG673394587,89,87
ENSSG362524022,112,115
ENSSG135757926,96,91
ENSSG229691473,105,100
ENSSG462467682,92,94
ENSSG892305925,86,172
ENSSG999499356,106,53
ENSSG271626757,75,71
ENSSG319270222,111,112
ENSSG460403275,81,78
ENSSG486666497,90,95
ENSSG256339065,95,190
ENSSG206031328,112,116
ENSSG311051789,100,101
ENSSG697903157,104,106
ENSSG470347023,97,95
ENSSG843676729,103,107
ENSSG494323635,89,84
ENSSG892267658,107,102
ENSSG841989297,97,96
ENSSG723291883,98,196
ENSSG706545718,115,116
ENSSG938818493,96,95
ENSSG480435334,104,99
ENSSG634167248,87,83
ENSSG739900267,100,101
ENSSG127736560,85,84
ENSSG249909190,108,54
ENSSG047483976,88,83
ENSSG543147507,86,85
ENSSG102799294,105,105
ENSSG442016403,104,101
ENSSG780810041,94,92
ENSSG760229832,89,93
ENSSG960310624,120,122
